Timestamp,CPU_%,Mem_Used_MB
12:55:08,40,6.48
12:55:10,33.3,6.50
12:55:11,27.3,6.50
12:55:12,27.3,6.50
12:55:13,27.3,6.52
12:55:14,38.5,6.55
12:55:16,27.3,6.65
12:55:17,0,6.53
12:55:18,20,6.55
12:55:19,20,6.53
12:55:21,25,6.53
12:55:22,30.8,6.53
12:55:23,33.3,6.55
12:55:24,20,6.55
12:55:25,22.2,6.53
12:55:27,33.3,6.65
12:55:28,33.3,6.64
12:55:29,20,6.65
12:55:30,33.3,6.64
12:55:32,20,6.64
12:55:33,38.5,6.62
12:55:34,27.3,6.61
12:55:35,25,6.60
12:55:36,57.1,6.55
12:55:38,20,6.57
12:55:39,33.3,6.57
12:55:40,20,6.56
12:55:41,33.3,6.55
12:55:43,18.2,6.55
12:55:44,30.8,6.57
12:55:45,30.8,6.56
12:55:46,27.3,6.56
12:55:48,20,6.60
12:55:49,20,6.61
12:55:50,20,6.61
12:55:51,20,6.61
12:55:52,33.3,6.61
12:55:54,27.3,6.61
12:55:55,30,6.60
12:55:56,33.3,6.58
12:55:57,20,6.56
12:55:58,33.3,6.56
12:56:00,33.3,6.56
12:56:01,20,6.55
12:56:02,27.3,6.55
12:56:03,33.3,6.55
12:56:05,27.3,6.55
12:56:06,33.3,6.62
12:56:07,25,6.76
12:56:08,20,6.61
12:56:09,33.3,6.62
12:56:11,27.3,6.62
12:56:12,30.8,6.62
12:56:13,33.3,6.60
12:56:14,36.4,6.60
12:56:16,25,6.60
12:56:17,57.1,6.60
12:56:18,50,6.92
12:56:19,60,7.12
12:56:20,57.1,7.48
12:56:22,50,8.04
12:56:23,45.5,8.09
12:56:24,60,8.18
12:56:25,50,8.29
12:56:26,60,8.26
12:56:28,88.9,7.77
12:56:29,71.4,7.63
12:56:30,40,7.75
12:56:31,20,7.40
12:56:33,27.3,7.33
12:56:34,25,7.25
12:56:35,33.3,7.08
12:56:36,50,7.34
12:56:38,20,6.90
12:56:39,20,6.84
12:56:40,20,6.84
12:56:41,30,6.80
12:56:42,40,7.02
12:56:44,57.1,7.17
12:56:45,33.3,7.16
12:56:46,20,6.98
12:56:47,20,6.94
12:56:48,33.3,6.78
12:56:50,50,7.24
12:56:51,20,7.30
12:56:52,33.3,7.24
12:56:53,20,7.15
12:56:54,18.2,7.11
12:56:56,50,7.35
12:56:57,33.3,7.11
12:56:58,20,7.07
12:56:59,20,6.99
12:57:00,33.3,6.96
12:57:02,25,6.93
12:57:03,60,7.39
12:57:04,33.3,6.98
12:57:05,33.3,6.96
12:57:06,33.3,6.99
12:57:08,27.3,6.99
12:57:09,50,7.05
12:57:10,25,6.93
12:57:11,25,6.92
12:57:13,20,6.92
12:57:14,30.8,6.88
12:57:15,57.1,6.84
12:57:16,50,6.94
12:57:17,20,6.96
12:57:19,20,6.96
12:57:20,20,6.88
12:57:21,57.1,6.89
12:57:22,50,7.34
12:57:23,20,7.17
12:57:25,42.9,7.15
12:57:26,30,7.15
12:57:27,25,7.07
12:57:28,50,7.05
12:57:29,20,7.15
12:57:31,33.3,6.94
12:57:32,33.3,6.97
12:57:33,25,6.87
12:57:34,33.3,6.84
12:57:36,57.1,7.19
12:57:37,33.3,7.36
12:57:38,33.3,7.11
12:57:39,40,7.06
12:57:40,27.3,6.81
12:57:42,33.3,6.81
12:57:43,50,7.25
12:57:44,20,7.28
12:57:45,33.3,6.85
12:57:46,20,6.85
12:57:48,23.1,6.87
12:57:49,33.3,6.85
12:57:50,40,7.06
12:57:51,57.1,7.19
12:57:52,0,6.98
12:57:54,33.3,6.98
12:57:55,20,6.94
12:57:56,25,6.90
12:57:57,42.9,7.42
12:57:59,20,7.19
12:58:00,57.1,7.11
12:58:01,40,7.03
12:58:02,31.2,6.97
12:58:04,33.3,6.99
12:58:05,50,7.40
12:58:06,20,7.01
12:58:07,33.3,6.83
12:58:08,40,6.81
12:58:10,27.3,6.78
12:58:11,57.1,6.88
12:58:12,50,6.84
12:58:13,33.3,6.84
12:58:14,20,6.83
12:58:16,41.7,6.81
12:58:17,30,6.78
12:58:18,50,7.38
12:58:19,28.6,6.94
12:58:20,40,6.88
12:58:22,40,6.87
12:58:23,23.1,6.85
12:58:24,50,7.10
12:58:25,33.3,7.19
12:58:27,20,7.16
12:58:28,20,7.13
12:58:29,35.7,7.07
12:58:30,41.7,6.98
12:58:31,50,7.25
12:58:33,16.7,6.78
12:58:34,25,6.78
12:58:35,20,6.78
12:58:36,27.3,6.76
12:58:37,50,7.03
12:58:39,33.3,6.97
12:58:40,20,6.94
12:58:41,33.3,6.94
12:58:42,35.7,6.92
12:58:44,23.1,6.90
12:58:45,50,7.36
12:58:46,25,6.96
12:58:47,33.3,6.92
12:58:48,20,6.89
12:58:50,30,6.87
12:58:51,40,7.17
12:58:52,33.3,7.08
12:58:53,25,7.03
12:58:54,33.3,6.98
12:58:56,30.8,6.98
12:58:57,33.3,6.96
12:58:58,42.9,7.42
12:58:59,40,7.01
12:59:00,25,6.99
12:59:02,20,7.01
12:59:03,33.3,7.01
12:59:04,57.1,7.30
12:59:05,33.3,7.28
12:59:06,22.2,7.24
12:59:08,20,7.07
12:59:09,20,7.06
12:59:10,50,7.01
12:59:11,16.7,7.17
12:59:13,33.3,6.84
12:59:14,30.8,6.83
12:59:15,25,6.80
12:59:16,30.8,6.80
12:59:18,50,7.07
12:59:19,33.3,6.78
12:59:20,33.3,6.78
12:59:21,33.3,6.78
12:59:22,33.3,6.73
12:59:24,53.8,6.80
12:59:25,50,7.28
12:59:26,20,6.92
12:59:27,33.3,6.90
12:59:28,33.3,6.88
12:59:30,36.4,6.88
12:59:31,57.1,7.17
12:59:32,57.1,6.94
12:59:33,40,6.97
12:59:35,20,6.94
12:59:36,27.3,6.90
12:59:37,40,6.89
12:59:38,50,7.45
12:59:39,42.9,7.02
12:59:41,33.3,7.03
12:59:42,20,6.99
12:59:43,33.3,6.83
12:59:44,50,7.06
12:59:45,20,7.06
12:59:47,20,7.06
12:59:48,40,7.05
12:59:49,36.4,6.97
12:59:50,46.2,6.99
12:59:52,42.9,7.34
12:59:53,33.3,7.13
12:59:54,20,7.07
12:59:55,40,7.05
12:59:56,41.7,7.01
12:59:58,66.7,7.34
12:59:59,20,6.89
13:00:00,40,6.88
13:00:01,40,6.88
13:00:02,33.3,6.84
13:00:04,71.4,6.85
13:00:05,62.5,6.81
13:00:06,33.3,6.80
13:00:07,33.3,6.87
13:00:08,45.5,6.80
13:00:10,40,6.75
13:00:11,40,7.19
13:00:12,33.3,6.76
13:00:13,20,6.67
13:00:14,42.9,6.69
13:00:16,27.3,6.67
13:00:17,57.1,6.92
13:00:18,42.9,6.99
13:00:19,42.9,6.98
13:00:21,20,6.97
13:00:22,30,6.97
13:00:23,30.8,6.92
13:00:24,42.9,7.48
13:00:25,20,7.01
13:00:27,33.3,7.01
13:00:28,20,6.98
13:00:29,30,6.96
13:00:30,45.5,6.98
13:00:32,60,7.26
13:00:33,25,6.85
13:00:34,0,6.79
13:00:35,28.6,6.79
13:00:36,33.3,6.78
13:00:38,57.1,7.12
13:00:39,20,7.21
13:00:40,40,7.16
13:00:41,33.3,7.08
13:00:42,33.3,7.02
13:00:44,50,7.01
13:00:45,66.7,6.78
13:00:46,33.3,6.83
13:00:47,33.3,6.81
13:00:48,0,6.80
13:00:50,27.3,6.79
13:00:51,50,7.15
13:00:52,42.9,7.16
13:00:53,25,7.11
13:00:55,20,6.85
13:00:56,25,6.85
13:00:57,57.1,7.05
13:00:58,66.7,7.19
13:00:59,20,7.16
13:01:01,20,7.13
13:01:02,0,7.10
13:01:03,30,6.99
13:01:04,40,7.29
13:01:05,25,6.99
13:01:07,20,6.97
13:01:08,60,6.90
13:01:09,30,6.90
13:01:10,50,6.97
13:01:12,62.5,6.93
13:01:13,33.3,6.94
13:01:14,50,6.92
13:01:15,33.3,6.85
13:01:16,30.8,6.85
13:01:18,50,7.21
13:01:19,20,7.10
13:01:20,20,7.08
13:01:21,40,7.05
13:01:22,23.1,6.99
13:01:24,60,7.33
13:01:25,50,7.34
13:01:26,33.3,7.19
13:01:27,33.3,7.13
13:01:28,30,7.07
13:01:30,33.3,7.02
13:01:31,57.1,7.16
13:01:32,20,6.94
13:01:33,20,6.94
13:01:35,20,6.89
13:01:36,33.3,6.74
13:01:37,66.7,6.97
13:01:38,20,6.76
13:01:39,42.9,6.76
13:01:41,25,6.76
13:01:42,30.8,6.75
13:01:43,42.9,6.97
13:01:44,54.5,7.01
13:01:45,20,6.88
13:01:47,20,6.88
13:01:48,33.3,6.87
13:01:49,27.3,6.84
13:01:50,66.7,7.22
13:01:52,25,6.88
13:01:53,42.9,6.88
13:01:54,20,6.88
13:01:55,33.3,6.84
13:01:56,50,7.21
13:01:58,40,7.08
13:01:59,20,7.07
13:02:00,20,6.98
13:02:01,33.3,6.93
13:02:02,57.1,6.96
13:02:04,57.1,7.03
13:02:05,40,7.03
13:02:06,20,6.88
13:02:07,25,6.88
13:02:08,100,6.81
13:02:10,50,7.24
13:02:11,33.3,6.83
13:02:12,25,6.78
13:02:13,38.5,6.79
13:02:15,41.7,6.76
13:02:16,62.5,7.03
13:02:17,40,7.07
13:02:18,25,6.99
13:02:19,20,6.94
13:02:21,27.3,6.92
13:02:22,41.7,6.87
13:02:23,60,7.33
13:02:24,20,7.24
13:02:25,25,7.16
13:02:27,42.9,6.98
13:02:28,38.5,6.96
13:02:29,40,6.98
13:02:30,0,6.88
13:02:32,0,6.87
13:02:33,40,6.85
13:02:34,30.8,6.85
13:02:35,50,6.96
13:02:36,62.5,7.26
13:02:38,33.3,7.13
13:02:39,20,7.07
13:02:40,50,7.28
13:02:41,100,6.96
13:02:42,57.1,7.68
13:02:44,33.3,7.79
13:02:45,0,7.79
13:02:46,50,7.67
13:02:47,42.9,7.68
13:02:48,50,7.80
13:02:50,57.1,7.98
13:02:51,57.1,8.02
13:02:52,53.8,7.97
13:02:53,60,7.93
13:02:55,0,7.97
13:02:56,50,8.40
13:02:57,20,8.26
13:02:58,33.3,8.04
13:02:59,33.3,7.95
13:03:01,50,7.79
13:03:02,66.7,8.03
13:03:03,42.9,7.97
13:03:04,75,7.91
13:03:05,50,7.88
13:03:07,40,8.12
13:03:08,20,8.16
13:03:09,100,8.59
13:03:10,66.7,8.39
13:03:11,83.3,8.22
13:03:13,40,8.18
13:03:14,66.7,8.13
13:03:15,88.9,8.14
13:03:16,85.7,8.06
13:03:18,60,8.11
13:03:19,25,8.09
13:03:20,20,8.08
13:03:22,46.2,8.12
13:03:23,60,8.58
13:03:24,57.1,8.36
13:03:25,40,8.36
13:03:26,57.1,8.27
13:03:28,50,8.02
13:03:29,57.1,8.21
13:03:30,33.3,7.95
13:03:31,40,7.94
13:03:32,71.4,7.93
13:03:34,33.3,8.00
13:03:35,80,8.29
13:03:36,80,8.36
13:03:37,66.7,8.34
13:03:39,57.1,8.49
13:03:40,16.7,8.55
13:03:41,33.3,8.55
13:03:42,50,9.00
13:03:44,25,8.61
13:03:45,20,8.59
13:03:46,30.8,8.54
13:03:47,16.7,8.50
13:03:49,60,8.77
13:03:50,33.3,8.37
13:03:51,62.5,8.35
13:03:52,20,8.34
13:03:53,87.5,8.55
13:03:55,54.5,8.80
13:03:56,50,8.82
13:03:57,20,8.82
13:03:58,25,8.81
13:03:59,33.3,8.82
13:04:01,28.6,8.78
13:04:02,50,9.09
13:04:03,33.3,8.91
13:04:04,27.3,8.81
13:04:05,33.3,8.76
13:04:07,33.3,8.71
13:04:08,50,8.68
13:04:09,42.9,8.82
13:04:10,27.3,8.31
