Timestamp,CPU_%,Mem_Used_MB
13:51:42,40,6.89
13:51:43,25,6.89
13:51:44,25,6.88
13:51:45,25,6.88
13:51:47,63.6,6.88
13:51:48,20,6.85
13:51:49,33.3,6.88
13:51:50,20,6.87
13:51:51,40,6.87
13:51:53,25,6.85
13:51:54,30.8,6.84
13:51:55,25,6.83
13:51:56,20,6.83
13:51:58,0,6.75
13:51:59,20,6.76
13:52:00,20,6.79
13:52:01,20,6.80
13:52:02,27.3,6.80
13:52:04,25,6.80
13:52:05,30.8,6.80
13:52:06,25,6.80
13:52:07,20,6.78
13:52:09,20,6.78
13:52:10,50,6.88
13:52:11,33.3,6.87
13:52:12,30.8,6.85
13:52:13,22.2,6.85
13:52:15,25,6.84
13:52:16,30.8,6.83
13:52:17,30.8,6.85
13:52:18,20,6.81
13:52:20,33.3,6.81
13:52:21,33.3,6.80
13:52:22,20,6.80
13:52:23,30.8,6.83
13:52:24,25,6.83
13:52:26,27.3,6.83
13:52:27,25,6.81
13:52:28,20,6.74
13:52:29,33.3,6.74
13:52:31,20,6.74
13:52:32,33.3,6.76
13:52:33,25,6.79
13:52:34,25,6.79
13:52:35,25,6.79
13:52:37,18.2,6.79
13:52:38,66.7,6.79
13:52:39,20,6.78
13:52:40,33.3,6.78
13:52:42,33.3,6.78
13:52:43,33.3,6.78
13:52:44,33.3,6.78
13:52:45,30.8,6.78
13:52:46,25,6.78
13:52:48,30.8,6.80
13:52:49,20,6.80
13:52:50,20,6.81
13:52:51,16.7,6.81
13:52:52,33.3,6.81
13:52:54,25,6.81
13:52:55,25,6.80
13:52:56,33.3,6.83
13:52:57,30.8,6.83
13:52:59,28.6,6.79
13:53:00,16.7,6.78
13:53:01,33.3,6.78
13:53:02,40,6.78
13:53:03,31.2,6.78
13:53:05,20,6.78
13:53:06,20,6.78
13:53:07,33.3,6.78
13:53:08,20,6.78
13:53:09,20,6.79
13:53:11,33.3,6.92
13:53:12,33.3,6.92
13:53:13,20,6.89
13:53:14,30.8,6.88
13:53:15,27.3,6.88
13:53:17,30.8,6.87
13:53:18,25,6.84
13:53:19,20,6.81
13:53:20,20,6.81
13:53:22,33.3,6.80
13:53:23,33.3,6.80
13:53:24,20,6.80
13:53:25,30.8,6.80
13:53:26,33.3,6.80
13:53:28,18.2,6.83
13:53:29,42.9,6.80
13:53:30,33.3,6.80
13:53:31,33.3,6.81
13:53:33,33.3,6.81
13:53:34,20,6.81
13:53:35,25,6.81
13:53:36,30.8,6.81
13:53:37,25,6.81
13:53:39,30.8,6.80
13:53:40,20,6.78
13:53:41,20,6.78
13:53:42,33.3,6.78
13:53:44,20,6.78
13:53:45,30.8,6.78
13:53:46,25,6.78
13:53:47,27.3,6.78
13:53:48,20,6.78
13:53:50,33.3,6.79
13:53:51,33.3,6.79
13:53:52,33.3,6.79
13:53:53,33.3,6.80
13:53:55,20,6.80
13:53:56,18.2,6.80
13:53:57,23.1,6.80
13:53:58,30.8,6.80
13:53:59,30.8,6.80
13:54:01,20,6.81
13:54:02,33.3,6.81
13:54:03,20,6.81
13:54:04,20,6.81
13:54:06,30.8,6.85
13:54:07,27.3,6.84
