Timestamp,CPU_%,Mem_Used_MB
13:30:38,50,11.88
13:30:40,25,11.85
13:30:41,25,11.85
13:30:42,28.6,11.83
13:30:43,23.1,11.83
13:30:45,33.3,12.07
13:30:46,20,12.04
13:30:47,25,12.04
13:30:48,20,11.96
13:30:49,25,11.93
13:30:51,23.1,11.91
13:30:52,23.1,11.88
13:30:53,25,11.91
13:30:54,55.6,11.80
13:30:56,20,11.83
13:30:57,33.3,11.83
13:30:58,25,11.83
13:30:59,20,12.01
13:31:00,28.6,12.01
13:31:02,25,11.96
13:31:03,33.3,11.96
13:31:04,20,11.91
13:31:05,33.3,11.83
13:31:06,18.2,11.91
13:31:08,18.2,11.88
13:31:09,28.6,11.88
13:31:10,23.1,11.88
13:31:11,23.1,11.85
13:31:13,28.6,11.85
13:31:14,28.6,11.88
13:31:15,25,12.01
13:31:16,33.3,11.99
13:31:18,20,11.99
13:31:19,33.3,11.99
13:31:20,28.6,11.99
13:31:21,53.8,11.99
13:31:22,60,12.25
13:31:24,33.3,12.28
13:31:25,20,12.36
13:31:26,50,12.46
13:31:27,53.8,12.49
13:31:29,33.3,12.49
13:31:30,33.3,12.51
13:31:31,40,12.51
13:31:32,50,13.54
13:31:33,60,14.28
13:31:35,57.1,14.59
13:31:36,50,14.28
13:31:37,57.1,14.94
13:31:38,83.3,14.78
13:31:39,50,14.07
13:31:41,20,13.94
13:31:42,33.3,13.72
13:31:43,21.4,13.46
13:31:44,30.8,13.28
13:31:45,60,13.12
13:31:47,66.7,13.38
13:31:48,20,12.64
13:31:49,25,12.62
13:31:50,23.1,12.57
13:31:52,25,12.51
13:31:53,60,13.17
13:31:54,33.3,13.25
13:31:55,20,13.01
13:31:56,20,12.72
13:31:58,27.3,12.75
13:31:59,83.3,12.83
13:32:00,25,12.67
13:32:01,25,12.67
13:32:02,33.3,12.67
13:32:04,30,12.54
13:32:05,18.2,12.49
13:32:06,50,12.72
13:32:07,33.3,12.46
13:32:09,20,12.49
13:32:10,20,12.49
13:32:11,28.6,12.49
13:32:12,57.1,13.28
13:32:13,20,13.09
13:32:15,33.3,13.07
13:32:16,33.3,12.99
13:32:17,20,12.41
13:32:18,57.1,12.72
13:32:19,0,12.62
13:32:21,25,12.62
13:32:22,33.3,12.57
13:32:23,28.6,12.43
13:32:24,57.1,12.57
13:32:26,57.1,12.43
13:32:27,42.9,12.38
13:32:28,40,12.36
13:32:29,40,12.33
13:32:30,26.7,12.33
13:32:32,50,13.07
13:32:33,33.3,13.12
13:32:34,33.3,13.12
13:32:35,33.3,13.07
13:32:36,21.4,12.96
13:32:38,40,12.78
13:32:39,33.3,12.33
13:32:40,20,12.33
13:32:41,20,12.33
13:32:42,21.4,12.38
13:32:44,50,12.49
13:32:45,20,12.25
13:32:46,20,12.28
13:32:47,50,12.51
13:32:48,20,12.49
13:32:50,26.7,12.49
13:32:51,50,13.28
13:32:52,50,13.28
13:32:53,0,13.17
13:32:55,0,13.04
13:32:56,30.8,12.88
13:32:57,50,12.83
13:32:58,57.1,12.54
13:32:59,20,12.62
13:33:01,57.1,12.57
13:33:02,27.3,12.54
13:33:03,36.4,12.46
